              MeasureTime  Rel. Humidity%  Wind Direction°  Wind Speed (avg)km/h  Air Temperature°F  Dew Point°F  Wind Speed (act)mph  Absolute Atmospheric PressurehPa  Wind Speed (vct)mph  Precipitation Intensityin/h  Visibilitymiles  Present WeatherLogic  Saline Concentration%  Road Condition Lufftlogic  Surface Temperature°F  Freezing Temperature°F  Sub Surface Temperature 1°F  Sub Surface Temperature 2°F  Water Film Heightmil
2022-11-16T00:09:00+00:00             0.0              0.0                   0.0          33.400002         32.0            33.400002                               1.0                 32.0                          0.8              0.0                   0.0              20.415091                  13.125137               2.264961                3.464202                          0.0                          0.0              1.936803
2022-11-16T00:19:00+00:00             0.0              0.0                   0.0          33.099998         32.0            32.700001                               1.0                 32.0                          0.6              0.0                   0.0              27.841930                  11.643700               2.086566                4.099818                          0.0                          0.0              2.501471
2022-11-16T00:29:00+00:00             0.0              0.0                   0.0          33.299999         32.0            33.400002                               1.0                 32.0                          0.7              0.0                   0.0               3.449126                  16.480179               2.220070                3.102165                          0.0                          0.0              2.572632
2022-11-16T00:39:00+00:00             0.0              0.0                   0.0          33.299999         32.0            33.400002                               1.0                 32.0                          0.7              0.0                   0.0               0.132112                  14.446805               2.798816                4.297513                          0.0                          0.0              2.827077
2022-11-16T00:49:00+00:00             0.0              0.0                   0.0          33.099998         32.0            32.700001                               1.0                 32.0                          0.6              0.0                   0.0             359.279602                  16.196884               1.730461                3.495907                          0.0                          0.0              2.251960
2022-11-16T00:59:00+00:00             0.0              0.0                   0.0          33.000000         32.0            32.500000                               1.0                 32.0                          0.6              0.0                   0.0              16.601402                  15.439653               2.500361                3.510255                          0.0                          0.0              2.853849
2022-11-16T01:09:00+00:00             0.0              0.0                   0.0          33.000000         32.0            33.000000                               1.0                 32.0                          0.6              0.0                   0.0             355.724945                  16.566940               2.436205                4.374940                          0.0                          0.0              2.799550
2022-11-16T01:19:00+00:00             0.0              0.0                   0.0          32.599998         32.0            32.400002                               1.0                 32.0                          0.3              0.0                   0.0              16.091175                  13.045541               2.073172                3.390770                          0.0                          0.0              2.230634
2022-11-16T01:29:00+00:00             0.0              0.0                   0.0          32.400002         32.0            32.500000                               1.0                 32.0                          0.2              0.0                   0.0             359.814972                 355.653107               1.946547                3.427681                          0.0                          0.0              3.133707
2022-11-16T01:39:00+00:00             0.0              0.0                   0.0          32.000000         32.0            31.700001                               6.0                 32.0                          0.0              0.0                   0.0               1.453740                   9.150122               3.262850                4.196342                          0.0                          0.0              2.738212
2022-11-16T01:49:00+00:00             0.0              0.0                   0.0          32.200001         32.0            31.299999                               1.0                 32.0                          0.1              0.0                   0.0              11.384363                  12.619329               2.371260                3.541376                          0.0                          0.0              2.390864
2022-11-16T01:59:00+00:00             0.0              0.0                   0.0          32.200001         32.0            32.000000                               1.0                 32.0                          0.1              0.0                   0.0               6.138307                   1.182550               2.449455                2.984277                          0.0                          0.0              2.052558
2022-11-16T02:09:00+00:00             0.0              0.0                   0.0          32.200001         32.0            31.600000                               1.0                 32.0                          0.1              0.0                   0.0              13.453074                   4.816494               2.587535                3.829175                          0.0                          0.0              2.605286
2022-11-16T02:19:00+00:00             0.0              0.0                   0.0          32.000000         32.0            32.099998                               6.0                 32.0                          0.0              0.0                   0.0              13.590221                   3.384855               2.042753                4.046001                          0.0                          0.0              2.617031
2022-11-16T02:29:00+00:00             0.0              0.0                   0.0          32.000000         32.0            32.700001                               6.0                 32.0                          0.0              0.0                   0.0             350.066437                 349.447479               2.186351                3.663594                          0.0                          0.0              3.247067
2022-11-16T02:39:00+00:00             0.0              0.0                   0.0          32.000000         32.0            32.700001                               6.0                 32.0                          0.0              0.0                   0.0             353.793396                 355.402252               1.126925                4.143539                          0.0                          0.0              2.315917
2022-11-16T02:49:00+00:00             0.0              0.0                   0.0          32.000000         32.0            32.000000                               6.0                 32.0                          0.0              0.0                   0.0             345.712555                 351.790100               1.895146                3.953010                          0.0                          0.0              2.257174
2022-11-16T02:59:00+00:00             0.0              0.0                   0.0          32.000000         32.0            32.700001                               6.0                 32.0                          0.0              0.0                   0.0               4.521855                 354.737885               1.617681                2.524581                          0.0                          0.0              2.136453
2022-11-16T03:09:00+00:00             0.0              0.0                   0.0          32.000000         32.0            31.799999                               6.0                 32.0                          0.0              0.0                   0.0             349.185394                 344.225342               2.392272                4.025647                          0.0                          0.0              2.054322
2022-11-16T03:19:00+00:00             0.0              0.0                   0.0          32.200001         32.0            31.700001                               1.0                 32.0                          0.1              0.0                   0.0             350.987396                 349.037720               2.117471                3.444324                          0.0                          0.0              2.327219
2022-11-16T03:29:00+00:00             0.0              0.0                   0.0          32.200001         32.0            32.299999                               1.0                 32.0                          0.1              0.0                   0.0             344.326263                 337.103180               2.407010                3.520018                          0.0                          0.0              2.780048
2022-11-16T03:39:00+00:00             0.0              0.0                   0.0          32.000000         32.0            32.099998                               6.0                 32.0                          0.0              0.0                   0.0             344.239105                 350.871735               2.961987                4.057323                          0.0                          0.0              2.529643
2022-11-16T03:49:00+00:00             0.0              0.0                   0.0          32.000000         32.0            32.400002                               6.0                 32.0                          0.0              0.0                   0.0               0.433064                 348.106689               1.555670                3.221047                          0.0                          0.0              2.052683
2022-11-16T03:59:00+00:00             0.0              0.0                   0.0          32.200001         32.0            32.000000                               1.0                 32.0                          0.1              0.0                   0.0             346.240906                 342.050262               2.008434                2.392073                          0.0                          0.0              1.931579
2022-11-16T04:09:00+00:00             0.0              0.0                   0.0          32.400002         32.0            31.799999                               1.0                 32.0                          0.2              0.0                   0.0             356.771820                 345.942291               2.344390                3.534158                          0.0                          0.0              2.191884
2022-11-16T00:09:00+00:00             0.0              0.0                   0.0          33.400002         32.0            33.400002                               1.0                 32.0                          0.8              0.0                   0.0              20.415091                  13.125137               2.264961                3.464202                          0.0                          0.0              1.936803
2022-11-16T00:19:00+00:00             0.0              0.0                   0.0          33.099998         32.0            32.700001                               1.0                 32.0                          0.6              0.0                   0.0              27.841930                  11.643700               2.086566                4.099818                          0.0                          0.0              2.501471
2022-11-16T00:29:00+00:00             0.0              0.0                   0.0          33.299999         32.0            33.400002                               1.0                 32.0                          0.7              0.0                   0.0               3.449126                  16.480179               2.220070                3.102165                          0.0                          0.0              2.572632
2022-11-16T00:39:00+00:00             0.0              0.0                   0.0          33.299999         32.0            33.400002                               1.0                 32.0                          0.7              0.0                   0.0               0.132112                  14.446805               2.798816                4.297513                          0.0                          0.0              2.827077
2022-11-16T00:49:00+00:00             0.0              0.0                   0.0          33.099998         32.0            32.700001                               1.0                 32.0                          0.6              0.0                   0.0             359.279602                  16.196884               1.730461                3.495907                          0.0                          0.0              2.251960
2022-11-16T00:59:00+00:00             0.0              0.0                   0.0          33.000000         32.0            32.500000                               1.0                 32.0                          0.6              0.0                   0.0              16.601402                  15.439653               2.500361                3.510255                          0.0                          0.0              2.853849
2022-11-16T01:09:00+00:00             0.0              0.0                   0.0          33.000000         32.0            33.000000                               1.0                 32.0                          0.6              0.0                   0.0             355.724945                  16.566940               2.436205                4.374940                          0.0                          0.0              2.799550
