              MeasureTime  Rel. Humidity%  Precipitation Type Lufftlogic  Wind Direction°  Air Temperature°F  Dew Point°F  Wind Speed (act)mph  Absolute Atmospheric PressurehPa  Wind Speed (vct)mph  Precipitation Intensityin/h  Wind Direction (max)°  Saline Concentration%  Road Condition Lufftlogic  Friction  Surface Temperature°F  Freezing Temperature°F  Water Film Heightmil  Ice Percent%  Road Condition Lufft IRS31Prologic
2023-03-01T05:00:00+00:00       67.967255                            0.0        33.971046          36.077896    26.519358             1.811678                        983.266785             1.481627                     0.000000              32.860607              85.000000                        1.0  0.818676              35.614265               85.000000              0.226696     85.000000                                10.0
2023-03-01T05:10:00+00:00       75.588654                            0.0        12.089643          35.323849    28.378227             4.677488                        983.023376             3.322427                     0.000000              13.291295              85.000000                        1.0  0.818676              35.431522               85.000000              0.226696     85.000000                                10.0
2023-03-01T05:20:00+00:00       75.055984                            0.0        51.719418          34.816387    27.714333             5.188213                        982.467712             5.327060                     0.000000              40.317566              85.000000                        1.0  0.818676              35.324871               85.000000              0.226696     85.000000                                10.0
2023-03-01T05:30:00+00:00       75.164673                            0.0        43.221416          35.202484    28.123373             1.600477                        982.385376             4.541030                     0.000000              44.621941              85.000000                        1.0  0.818676              35.303497               85.000000              0.226696     85.000000                                10.0
2023-03-01T05:40:00+00:00       75.508202                            0.0       280.306824          34.947964    27.988117             1.001819                        982.721863             1.347014                     0.000000              28.797489              85.000000                        1.0  0.818676              35.269264               85.000000              0.226696     85.000000                                10.0
2023-03-01T05:50:00+00:00       72.797638                            0.0         9.567901          35.349884    27.486275             1.207176                        982.839905             0.000000                     0.000000             263.488831               0.000000                        1.0  0.000000               0.000000                0.000000              0.000000      0.000000                                 0.0
2023-03-01T06:00:00+00:00       66.512764                            0.0       349.764496          35.813999    25.744110             2.753995                        983.040649             2.335992                     0.000000             351.145935              85.000000                       99.0  0.818676              35.170700               85.000000              0.226696     85.000000                                10.0
2023-03-01T06:00:00+00:00       66.512764                            0.0       349.764496          35.813999    25.744110             2.753995                        983.040649             2.335992                     0.000000             351.145935              85.000000                       99.0  0.818676              35.170700               85.000000              0.226696     85.000000                                10.0
2023-03-01T06:10:00+00:00       72.898239                            0.0       329.691956          34.304279    26.511028             4.400004                        983.129944             5.604235                     0.000000             315.465210              85.000000                        1.0  0.818676              34.959747               85.000000              0.226696     85.000000                                10.0
2023-03-01T06:20:00+00:00       72.147858                            0.0         0.000000          34.765125    26.704741             0.000000                        983.065979             3.014660                     0.000000              38.104492              85.000000                        1.0  0.818676              35.020145               85.000000              0.226696     85.000000                                10.0
